model,question_id,exact_match_mean,exact_match_median,exact_match_std,exact_match_min,exact_match_max,normalized_exact_match_mean,normalized_exact_match_median,normalized_exact_match_std,normalized_exact_match_min,normalized_exact_match_max,token_f1_mean,token_f1_median,token_f1_std,token_f1_min,token_f1_max,string_similarity_mean,string_similarity_median,string_similarity_std,string_similarity_min,string_similarity_max,bleu_mean,bleu_median,bleu_std,bleu_min,bleu_max,rouge_l_mean,rouge_l_median,rouge_l_std,rouge_l_min,rouge_l_max,bertscore_precision_mean,bertscore_precision_median,bertscore_precision_std,bertscore_precision_min,bertscore_precision_max,bertscore_recall_mean,bertscore_recall_median,bertscore_recall_std,bertscore_recall_min,bertscore_recall_max,bertscore_f1_mean,bertscore_f1_median,bertscore_f1_std,bertscore_f1_min,bertscore_f1_max,judge_score_mean,judge_score_median,judge_score_std,judge_score_min,judge_score_max,n_runs,unique_responses,unique_normalized_responses,avg_response_length,response_uniqueness_rate,normalized_response_uniqueness_rate,modal_normalized_response_count,normalized_self_agreement_rate,semantic_self_similarity_mean,semantic_self_similarity_std,n_semantic_pairs
gemma3:12b,q15701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.19923800587844345,0.19934640522875818,0.0001877531822525569,0.19902120717781402,0.19934640522875818,0.007122118815326709,0.007122118815326709,0.0,0.007122118815326709,0.007122118815326709,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.7941990296045939,0.794157862663269,7.130323396687329e-05,0.794157862663269,0.7942813634872437,0.6902442375818888,0.6901925802230835,8.947317003565387e-05,0.6901925802230835,0.6903475522994995,0.7385816971460978,0.7385343313217163,8.204001437115273e-05,0.7385343313217163,0.7386764287948608,1.0,1.0,0.0,1.0,1.0,3,2,2,517.3333333333334,0.6666666666666666,0.6666666666666666,2,0.6666666666666666,0.997442364692688,0.001808521269602463,3
gemma3:12b,q15846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33659397715472483,0.33644859813084116,0.003335710180239027,0.3333333333333333,0.34,0.10338548585516805,0.10312075983717775,0.0021965126912648616,0.10133333333333333,0.10570236439499305,0.04883221963546861,0.04646732180628696,0.006227897154119072,0.044133159674317315,0.05589617742580156,0.20722863600268768,0.20560747663551404,0.012042901629997355,0.19607843137254902,0.22,0.8569673697153727,0.8564509153366089,0.0013540447649349394,0.8559475541114807,0.8585036396980286,0.8220322529474894,0.8222613334655762,0.0010231602284373764,0.8209139704704285,0.8229214549064636,0.839136024316152,0.8393515348434448,0.0009813897872043406,0.8380647897720337,0.8399917483329773,0.8000000000000002,0.8,0.0,0.8,0.8,3,3,3,550.6666666666666,1.0,1.0,1,0.3333333333333333,0.9783552090326945,0.00881312528681707,3
gemma3:12b,q4460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13324853094968037,0.1322751322751323,0.011749594747566311,0.1220159151193634,0.14545454545454545,0.023876431370648658,0.02362869198312236,0.0028309754980799804,0.021177467174925878,0.026823134953897737,0.00033734342955841346,0.00029017770013790395,0.00010537609591101463,0.00026378893242668273,0.0004580636561106537,0.08410763353292089,0.08465608465608467,0.014875475580091413,0.06896551724137931,0.09870129870129869,0.8372823596000671,0.8373277187347412,0.001970712484102138,0.8352893590927124,0.8392300009727478,0.7483878334363302,0.7488555908203125,0.0011475087084204692,0.7470803260803223,0.7492275834083557,0.7903424302736918,0.789714515209198,0.0011582289090650397,0.7896337509155273,0.7916790246963501,0.20000000000000004,0.2,0.0,0.2,0.2,3,3,3,509.3333333333333,1.0,1.0,1,0.3333333333333333,0.9640070796012878,0.006369031321491779,3
gemma3:4b,q15701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16217093717093714,0.16216216216216214,0.0014610587244385485,0.16071428571428573,0.1636363636363636,0.16034098836950667,0.16120218579234974,0.0018870825740716312,0.1581769436997319,0.16164383561643836,0.0034039295285774353,0.0034036523398411275,3.762052109856097e-05,0.003366448367729339,0.0034416878781618403,0.07207597207597208,0.07207207207207209,0.0006493594330838086,0.07142857142857142,0.07272727272727272,0.795737644036611,0.7958983182907104,0.00041977645130781535,0.7952612638473511,0.7960533499717712,0.6893802285194397,0.6892490386962891,0.0009036542643412845,0.6885493397712708,0.6903423070907593,0.7387502988179525,0.7384698987007141,0.0005996430673160648,0.7383422255516052,0.7394387722015381,1.0,1.0,0.0,1.0,1.0,3,3,3,643.6666666666666,1.0,1.0,1,0.3333333333333333,0.989338219165802,0.0023767240022277434,3
gemma3:4b,q15846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20158269316282207,0.20155038759689922,0.0031256887158991067,0.19847328244274812,0.20472440944881887,0.006178008612240282,0.006191950464396285,9.279915062695435e-05,0.0060790273556231,0.006263048016701462,0.007107532923871156,0.00710565556510493,0.00014148898072757022,0.006966991964046454,0.007249951242462086,0.10854452708767343,0.10852713178294572,0.0016830631547149154,0.1068702290076336,0.11023622047244096,0.8310935099919637,0.8313060998916626,0.0004971625433500056,0.8305253982543945,0.831449031829834,0.824481467405955,0.8249622583389282,0.0008408715461367592,0.8235105276107788,0.824971616268158,0.8277740081151327,0.8277344703674316,0.00033476686123946355,0.827460765838623,0.8281267881393433,0.8166666666666668,0.8,0.028867513459481256,0.8,0.85,3,3,3,794.6666666666666,1.0,1.0,1,0.3333333333333333,0.9881142973899841,0.006336987095858894,3
gemma3:4b,q4460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12990881274554594,0.1295336787564767,0.0022427962130448535,0.1278772378516624,0.13231552162849872,0.028731074188069753,0.02674230145867099,0.004347371645129356,0.025733815842380377,0.033717105263157895,0.0004952982684754645,0.00047789737785038983,0.00011378763830591698,0.0003912133717202987,0.0006167840558557051,0.07692747594249295,0.07672634271099744,0.0007137456819530437,0.07633587786259542,0.07772020725388601,0.8340978622436523,0.8348301649093628,0.0031614984112854666,0.8306344747543335,0.8368289470672607,0.7501960198084513,0.7510827779769897,0.001690792960818395,0.7482463121414185,0.7512589693069458,0.7899223963419596,0.7891704440116882,0.0015806372063889202,0.7888581156730652,0.7917386293411255,0.3333333333333333,0.3,0.0577350269189626,0.3,0.4,3,3,3,601.6666666666666,1.0,1.0,1,0.3333333333333333,0.9571058948834738,0.015684344247342503,3
gpt-4.1-mini,q15701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13863636363636364,0.14545454545454545,0.011809437324333247,0.125,0.14545454545454545,0.15819991073094808,0.15833333333333333,0.0017583991195942227,0.15637860082304528,0.15988779803646563,0.005835774270332332,0.005942693772565328,0.00018519001018752355,0.00562193526586634,0.005942693772565328,0.09036796536796537,0.09090909090909091,0.0009372569305026456,0.08928571428571429,0.09090909090909091,0.7970611254374186,0.7969141006469727,0.0005299704157117774,0.7966201901435852,0.797649085521698,0.6925363739331564,0.6921579241752625,0.0006759862761271884,0.6921343803405762,0.6933168172836304,0.7411314845085144,0.7408511638641357,0.0006111908259900028,0.7407107353210449,0.7418325543403625,1.0,1.0,0.0,1.0,1.0,3,3,3,632.3333333333334,1.0,1.0,1,0.3333333333333333,0.9947803616523743,0.0015763345067219372,3
gpt-4.1-mini,q15846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35692371826179387,0.33663366336633666,0.04093492720747098,0.3300970873786408,0.40404040404040403,0.03927020390723479,0.038860103626943004,0.001495232315347991,0.03802281368821293,0.040927694406548434,0.023900974659510854,0.02355420091257551,0.001191113307490394,0.02292172894294473,0.025226994123012325,0.21787874580338296,0.21782178217821785,0.0043152765951870176,0.21359223300970875,0.22222222222222227,0.8598779638608297,0.8590362668037415,0.0025952875090170377,0.857807993888855,0.8627896308898926,0.8176685571670532,0.8179574012756348,0.0007140716745724302,0.8168553113937378,0.8181929588317871,0.8382402062416077,0.8381173610687256,0.000899104511180155,0.8374088406562805,0.8391944169998169,1.0,1.0,0.0,1.0,1.0,3,3,3,578.6666666666666,1.0,1.0,1,0.3333333333333333,0.9743761618932089,0.014619822129568496,3
gpt-4.1-mini,q4460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13978622345369826,0.1377551020408163,0.005330157383011371,0.13577023498694518,0.14583333333333331,0.022708482443225417,0.01936842105263158,0.006016489973751569,0.01910299003322259,0.029654036243822075,0.0005364136096249711,0.00048449249555909533,0.00015874896271135747,0.00041012640280716894,0.000714621930508649,0.07070348809671824,0.07291666666666666,0.007193747389918463,0.06266318537859009,0.07653061224489797,0.8287521600723267,0.8289549946784973,0.0016656716258195918,0.8269943594932556,0.830307126045227,0.7541705369949341,0.7552232146263123,0.005230878856833606,0.7484933733940125,0.7587950229644775,0.7897011240323385,0.7903732657432556,0.003623988150543827,0.7857881188392639,0.7929419875144958,0.3666666666666667,0.4,0.057735026918962595,0.3,0.4,3,3,3,542.6666666666666,1.0,1.0,1,0.3333333333333333,0.951915959517161,0.017106667038369362,3
llama3.1:8b,q15701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13717633339063118,0.1443298969072165,0.015255937491060245,0.11965811965811965,0.14754098360655737,0.16157040312532664,0.1628222523744912,0.03117963831342937,0.129783693843594,0.19210526315789472,0.005029943655675692,0.005330603105020503,0.0018631616111215582,0.0030347361272458568,0.006724491734760716,0.08900184749432678,0.08247422680412371,0.01174799292022029,0.0819672131147541,0.10256410256410256,0.8010850151379904,0.8024120926856995,0.0037992790568502728,0.7968001961708069,0.8040427565574646,0.6894430716832479,0.6888906359672546,0.0029546416656513466,0.6868036389350891,0.6926349401473999,0.7410798271497091,0.7401204705238342,0.0027609480704414344,0.7389265298843384,0.7441924810409546,1.0,1.0,0.0,1.0,1.0,3,3,3,610.6666666666666,1.0,1.0,1,0.3333333333333333,0.958315114180247,0.0043361769360949105,3
