model,question_id,exact_match_mean,exact_match_median,exact_match_std,exact_match_min,exact_match_max,normalized_exact_match_mean,normalized_exact_match_median,normalized_exact_match_std,normalized_exact_match_min,normalized_exact_match_max,token_f1_mean,token_f1_median,token_f1_std,token_f1_min,token_f1_max,string_similarity_mean,string_similarity_median,string_similarity_std,string_similarity_min,string_similarity_max,bleu_mean,bleu_median,bleu_std,bleu_min,bleu_max,rouge_l_mean,rouge_l_median,rouge_l_std,rouge_l_min,rouge_l_max,bertscore_precision_mean,bertscore_precision_median,bertscore_precision_std,bertscore_precision_min,bertscore_precision_max,bertscore_recall_mean,bertscore_recall_median,bertscore_recall_std,bertscore_recall_min,bertscore_recall_max,bertscore_f1_mean,bertscore_f1_median,bertscore_f1_std,bertscore_f1_min,bertscore_f1_max,judge_score_mean,judge_score_median,judge_score_std,judge_score_min,judge_score_max,n_runs,unique_responses,unique_normalized_responses,avg_response_length,response_uniqueness_rate,normalized_response_uniqueness_rate,modal_normalized_response_count,normalized_self_agreement_rate,semantic_self_similarity_mean,semantic_self_similarity_std,n_semantic_pairs
gemma3:12b,q10088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2683302800190793,0.26934100167745023,0.00860111576763401,0.25559105431309903,0.28391167192429023,0.039548806607266264,0.03802282227741616,0.00396025799683053,0.037122969837587005,0.049951969260326606,0.005883808218306378,0.005957795895646449,0.0004966569190916447,0.004802867609012727,0.006658321703006861,0.1394714945153076,0.13622291021671828,0.006224578396053939,0.134185303514377,0.15141955835962145,0.8410167157649994,0.8400792181491852,0.00357128346861047,0.8371015191078186,0.8493325114250183,0.8127250611782074,0.8119079768657684,0.003250733153886068,0.8084415197372437,0.8203713893890381,0.8266244113445282,0.8265599608421326,0.0027341604037202545,0.8231889605522156,0.831784188747406,0.4125,0.4,0.083452296039628,0.3,0.6,10,10,10,665.1,1.0,1.0,1,0.1,0.9665058228704665,0.012145129893010333,45
gemma3:12b,q10280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16614256656477952,0.16545094713033645,0.021226888908657402,0.1343283582089552,0.20833333333333334,0.013024229460408423,0.01253138450502152,0.0015551555116690462,0.011494252873563218,0.015665796344647518,0.008834226830244435,0.009028965392102427,0.0008884687788603386,0.007452869940273089,0.009715634675637531,0.10503031909143816,0.10687022900763359,0.01161536709735978,0.08888888888888889,0.12030075187969924,0.843227618932724,0.842240184545517,0.006394606996958918,0.8321793079376221,0.8532027006149292,0.8435594499111175,0.8416360914707184,0.0045713665090544465,0.8391764163970947,0.85135817527771,0.8433798968791961,0.8415727913379669,0.004262826629232379,0.8380172848701477,0.8509522676467896,0.77,1.0,0.4164666186436128,0.0,1.0,10,9,9,571.8,0.9,0.9,2,0.2,0.9376071731249491,0.02693808077145859,45
gemma3:12b,q1035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11752738981836366,0.1146694214876033,0.013018660447086834,0.09698996655518394,0.1342062193126023,0.006898987544133249,0.0065453585231773775,0.0013616191188725111,0.005815490351572826,0.010655301012253596,0.0006832230500307147,0.0006533164083280759,0.00022585364305188898,0.00036021859434904083,0.0010378342742074418,0.07091844863280648,0.07101710171017102,0.007360089430612708,0.05980066445182724,0.08130081300813008,0.8173173546791077,0.8190465569496155,0.0051483397875734735,0.8096506595611572,0.8239954710006714,0.7445523083209992,0.7432769536972046,0.007483375124029965,0.7377017736434937,0.7648338079452515,0.7792091250419617,0.7796370089054108,0.004051089551047213,0.7735342383384705,0.7879243493080139,0.5357142857142857,0.6,0.2173980330221614,0.3,0.9,10,10,10,761.6,1.0,1.0,1,0.1,0.9266525533464219,0.01887515748045919,45
gemma3:12b,q10548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2215709205396288,0.22277055455379458,0.015709317158667538,0.1976284584980237,0.24505928853754938,0.010101764577524019,0.010120985181307048,0.00012142453962140589,0.009884678747940691,0.010279840091376356,0.029802143406853478,0.03003178053863966,0.00206451136298454,0.02674915811222019,0.032882263614829065,0.14698683184186076,0.1495249289842296,0.013072834296460388,0.1245136186770428,0.16,0.850459098815918,0.8510721325874329,0.0022952961130511965,0.8460434675216675,0.8529020547866821,0.82794029712677,0.8283876478672028,0.002780050762980391,0.8227307796478271,0.8313667178153992,0.8390465199947357,0.8392402827739716,0.0021417370291132243,0.8358600735664368,0.8419046998023987,0.0,0.0,0.0,0.0,0.0,10,10,10,651.6,1.0,1.0,1,0.1,0.961513798766666,0.018524245895542295,45
gemma3:12b,q10910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22321250530611328,0.22873563218390802,0.019359360548586075,0.19130434782608696,0.25,0.010869285809585752,0.01070668720883313,0.00031250045048684786,0.010559662090813094,0.011363636363636364,0.010445762219966823,0.010388454084214713,0.0002003335452491,0.010209252789314834,0.010739475834068942,0.11859718793006942,0.11765536723163841,0.0026598456894104516,0.11475409836065574,0.1217391304347826,0.8598297715187073,0.8601929247379303,0.0014733325524045877,0.8574152588844299,0.8620562553405762,0.8310581982135773,0.8311893045902252,0.0012341808511233013,0.8282632827758789,0.8325341939926147,0.8451988995075226,0.8457420766353607,0.0012400678611481936,0.8425872325897217,0.8466689586639404,0.9650000000000001,1.0,0.05296749527356902,0.85,1.0,10,9,9,539.1,0.9,0.9,2,0.2,0.9733666128582424,0.01298167563579014,45
gemma3:12b,q11229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28419477800171566,0.2748252247110857,0.04522722382425655,0.22641509433962265,0.3707865168539326,0.08071201299313344,0.08464944419326173,0.008501467114515292,0.06716417910447761,0.09237379162191192,0.015682358226161743,0.009511313662158068,0.009338255382732955,0.007193454810072521,0.029798053682912485,0.16254051751307358,0.16474576271186442,0.026229686460651814,0.12578616352201258,0.21348314606741572,0.8697910904884338,0.8688920736312866,0.008373544329336534,0.8535407781600952,0.8804970979690552,0.8873000741004944,0.8871687054634094,0.005465142295335094,0.879730224609375,0.8991807699203491,0.8784303724765777,0.8789215087890625,0.004832255869209076,0.8694954514503479,0.8849775195121765,0.42500000000000004,0.4,0.23145502494313785,0.2,0.9,10,10,10,540.3,1.0,1.0,1,0.1,0.9291292256779141,0.019460102713285667,45
gemma3:12b,q11246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21998494975792654,0.22222346418671202,0.01410602215976412,0.18571428571428575,0.23584905660377362,0.03700150382680247,0.03599428435341748,0.0032120172120953866,0.033192090395480225,0.04426002766251729,0.003190057521217754,0.0022607682692295916,0.0016176403202226995,0.0016515080006859145,0.005449282671327438,0.1305858691069976,0.1322330638416504,0.004900468032378615,0.11904761904761907,0.13679245283018868,0.8567062675952911,0.8581462204456329,0.006316176939587484,0.8442304134368896,0.8638367652893066,0.8036835312843322,0.8034256398677826,0.0025479134542587037,0.7997453212738037,0.8085944652557373,0.8293436229228973,0.8299742639064789,0.00417511009104956,0.8213860392570496,0.8348470330238342,0.5111111111111111,0.55,0.12444320435890065,0.3,0.7,10,10,10,655.2,1.0,1.0,1,0.1,0.9469612969292535,0.02858718802483972,45
gemma3:12b,q12052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14521914083533732,0.14457831325301204,0.007032898015579296,0.1348314606741573,0.16216216216216214,0.16482769325415925,0.16666666666666666,0.00784277088494768,0.1526479750778816,0.1801470588235294,0.026155833590960458,0.02542252764476899,0.011365638575519954,0.014571154104442598,0.04081462921322397,0.14521914083533732,0.14457831325301204,0.007032898015579296,0.1348314606741573,0.16216216216216214,0.8234463036060333,0.8240092396736145,0.0025756510544152527,0.8199058771133423,0.8259741067886353,0.9330174386501312,0.9336130917072296,0.0029257505387547747,0.929719865322113,0.9373291730880737,0.8748068988323212,0.8746911585330963,0.0005917932296804656,0.874123215675354,0.876360297203064,0.04,0.0,0.0843274042711568,0.0,0.2,10,9,9,555.0,0.9,0.9,2,0.2,0.9528942743937174,0.02331218968814434,45
gemma3:12b,q124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2672070401505359,0.2723223698081383,0.01879960108576746,0.24,0.2971014492753623,0.026034724254440134,0.025253928737198075,0.0018118827270754293,0.0241977906365071,0.02936378466557912,0.006076045306838939,0.006281603851708617,0.002412861192651584,0.003507807817034582,0.008736325535644516,0.14005560507997777,0.14022331154684095,0.006481110370056015,0.12903225806451615,0.15217391304347827,0.8485709846019744,0.8460158407688141,0.004076523748824678,0.8448712825775146,0.8566757440567017,0.8043336749076844,0.8047462701797485,0.00159288258006226,0.8006397485733032,0.8065170049667358,0.8258564889430999,0.8247906565666199,0.002339947794922483,0.8227679133415222,0.8308400511741638,0.51,0.4,0.18529256146249726,0.4,0.9,10,9,9,703.3,0.9,0.9,2,0.2,0.9661267783906725,0.016058009766330546,45
gemma3:12b,q13034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388280315713944,0.3893805309734513,0.00347918613651628,0.37837837837837834,0.3893805309734513,0.03718205404142787,0.037089871611982884,0.00029150643729392825,0.037089871611982884,0.038011695906432746,0.06381009175213323,0.06366847879573324,0.00044781948841406144,0.06366847879573324,0.06508460835973306,0.26596508012437214,0.26548672566371684,0.0015126896245722691,0.26548672566371684,0.27027027027027023,0.8742125272750855,0.8729498386383057,0.002960598902590593,0.8729498386383057,0.8820120096206665,0.9039686739444732,0.9029847383499146,0.003028591844068798,0.9029847383499146,0.9125855565071106,0.8888413310050964,0.8877133131027222,0.002944948801139208,0.8877133131027222,0.8970383405685425,1.0,1.0,0.0,1.0,1.0,10,3,2,410.3,0.3,0.2,9,0.9,0.9924596640798781,0.013559637858789103,45
